timestamp,ontario_demand_mw,predicted_demand_mw,baseline_demand_mw,lower_90_mw,upper_90_mw,absolute_error_mw
2026-07-09 03:00:00,16381,15427.401597537137,16450.0,14329.962789339412,16989.35315987728,953.5984024628633
2026-07-09 04:00:00,16450,15581.11601459903,16668.0,14483.677206401306,17143.067576939175,868.8839854009693
2026-07-09 05:00:00,17070,16270.057502369878,17235.0,15172.618694172153,17832.009064710022,799.9424976301216
2026-07-09 06:00:00,18125,17415.18367590024,18628.0,16317.744867702515,18977.135238240382,709.8163240997601
2026-07-09 07:00:00,19452,18647.428668002347,20564.0,17549.98985980462,20209.38023034249,804.571331997653
2026-07-09 08:00:00,20282,19414.384749544053,21537.0,18316.945941346326,20976.336311884195,867.6152504559468
2026-07-09 09:00:00,21129,20113.466262991857,22394.0,19016.02745479413,21675.417825332,1015.5337370081434
2026-07-09 10:00:00,21414,20309.23628639639,23067.0,19211.797478198663,21871.187848736532,1104.76371360361
2026-07-09 11:00:00,21957,21267.422520384178,23276.0,20169.983712186455,22829.37408272432,689.5774796158221
2026-07-09 12:00:00,22248,21770.75483982933,23207.0,20673.316031631606,23332.70640216947,477.2451601706707
2026-07-09 13:00:00,22214,21556.950516988687,23438.0,20459.51170879096,23118.90207932883,657.049483011313
2026-07-09 14:00:00,21573,21556.950516988687,24187.0,20459.51170879096,23118.90207932883,16.049483011312986
2026-07-09 15:00:00,21033,21439.743200595523,24441.0,20342.304392397797,23001.694762935665,406.7432005955234
2026-07-09 16:00:00,21376,21864.03734125496,24633.0,20766.598533057237,23425.988903595102,488.03734125495976
2026-07-09 17:00:00,21172,21755.775871152462,24734.0,20658.337062954735,23317.727433492604,583.7758711524621
2026-07-09 18:00:00,20875,21755.775871152462,24612.0,20658.337062954735,23317.727433492604,880.7758711524621
2026-07-09 19:00:00,20636,21710.68109575281,24353.0,20613.242287555084,23272.632658092953,1074.6810957528105
2026-07-09 20:00:00,20460,21447.37026107494,23846.0,20349.931452877216,23009.32182341508,987.3702610749388
2026-07-09 21:00:00,19423,20272.694963284997,22752.0,19175.25615508727,21834.64652562514,849.6949632849974
2026-07-09 22:00:00,18390,18955.48729368891,21523.0,17858.048485491185,20517.438856029054,565.4872936889114
2026-07-09 23:00:00,17121,17941.899922530287,20075.0,16844.46111433256,19503.85148487043,820.8999225302869
2026-07-10 00:00:00,16217,17147.01425941149,19076.0,16049.575451213766,18708.965821751633,930.0142594114914
2026-07-10 01:00:00,15731,16526.16668739456,18170.0,15428.727879196837,18088.118249734704,795.1666873945614
2026-07-10 02:00:00,15284,15962.360404054369,17682.0,14864.921595856644,17524.31196639451,678.3604040543687
2026-07-10 03:00:00,15248,15867.523237463336,17543.0,14770.084429265611,17429.47479980348,619.523237463336
2026-07-10 04:00:00,15481,15938.87320783706,17293.0,14841.434399639335,17500.8247701772,457.87320783705945
2026-07-10 05:00:00,15752,16667.369367273393,17775.0,15569.930559075668,18229.320929613536,915.3693672733934
2026-07-10 06:00:00,16917,17302.484288563533,19229.0,16205.045480365809,18864.435850903676,385.4842885635335
